"","X","ofcrec_cj_correct","ofcrec_vp_correct","ofcrec_speaker_correct","knowl_housemaj","knowl_senmaj","mode","validated_vote","dem_raceeth_x","gender_respondent_x","dem_edugroup_x","dem_eduspgroup_x","interest_attention","dem_age_r_x","justice_roberts","vp_biden","speaker_boehner","majority_house","majority_senate","mode_ftf","validated_voter16","race","female","college","spouse_educ","news_interest","age_cat6","pol_knowledge","treat","vote","v"
"148",386,0,1,1,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",5,3,1,70,0,1,1,1,1,1,1,3,0,1,1,3,6,4,3,1,1
"149",387,0,1,1,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",5,3,1,70,0,1,1,1,1,1,1,3,0,1,1,3,6,4,3,1,1
"150",388,0,1,1,2,1,"1. FTF (face-to-face) mode",1,5,"1. Male",5,3,1,70,0,1,1,1,1,1,1,3,0,1,1,3,6,4,3,1,1
"151",396,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,4,66,0,1,1,1,1,1,1,1,1,0,NA,1,6,4,3,1,0
"152",397,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,4,66,0,1,1,1,1,1,1,1,1,0,NA,1,6,4,3,1,0
"153",398,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,4,66,0,1,1,1,1,1,1,1,1,0,NA,1,6,4,3,1,0
"154",399,0,1,1,2,2,"1. FTF (face-to-face) mode",0,1,"1. Male",2,NA,3,50,0,1,1,1,0,1,0,1,0,0,NA,2,4,3,2,0,0
"155",400,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,3,50,0,1,1,1,0,1,1,1,0,0,NA,2,4,3,2,1,0
"156",401,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,3,50,0,1,1,1,0,1,1,1,0,0,NA,2,4,3,2,1,0
"157",402,0,1,1,2,2,"1. FTF (face-to-face) mode",0,1,"1. Male",2,NA,3,50,0,1,1,1,0,1,0,1,0,0,NA,2,4,3,2,0,0
"158",403,0,1,0,1,1,"1. FTF (face-to-face) mode",0,1,"1. Male",NA,4,4,28,0,1,0,0,1,1,0,1,0,NA,2,1,2,2,1,0,0
"159",404,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",NA,4,4,28,0,1,0,0,1,1,1,1,0,NA,2,1,2,2,1,1,0
"160",405,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",NA,4,4,28,0,1,0,0,1,1,1,1,0,NA,2,1,2,2,1,1,0
"161",409,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",3,4,1,78,0,1,1,1,0,1,1,1,0,1,2,3,6,3,2,1,1
"162",410,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"1. Male",3,4,1,78,0,1,1,1,0,1,1,1,0,1,2,3,6,3,2,1,1
"163",415,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"164",416,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"165",417,0,1,0,1,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,2,1,62,0,1,0,0,1,1,0,1,0,0,0,3,5,2,1,0,1
"166",418,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"167",419,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"168",420,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"169",421,0,1,0,1,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,2,1,62,0,1,0,0,1,1,0,1,0,0,0,3,5,2,1,0,1
"170",422,0,1,0,1,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,2,1,62,0,1,0,0,1,1,0,1,0,0,0,3,5,2,1,0,1
"171",423,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"172",424,0,1,0,1,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,2,1,62,0,1,0,0,1,1,0,1,0,0,0,3,5,2,1,0,1
"173",425,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"174",426,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"175",427,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"176",428,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"177",429,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"178",430,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,2,1,62,0,1,0,0,1,1,1,1,0,0,0,3,5,2,1,1,1
"179",440,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",2,2,1,52,0,1,0,1,0,1,1,4,1,0,0,3,4,2,1,1,1
"180",441,0,1,0,2,2,"1. FTF (face-to-face) mode",0,3,"2. Female",2,2,1,52,0,1,0,1,0,1,0,4,1,0,0,3,4,2,1,0,1
"181",442,0,1,0,2,2,"1. FTF (face-to-face) mode",0,3,"2. Female",2,2,1,52,0,1,0,1,0,1,0,4,1,0,0,3,4,2,1,0,1
"182",443,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",2,2,1,52,0,1,0,1,0,1,1,4,1,0,0,3,4,2,1,1,1
"183",444,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",2,2,1,52,0,1,0,1,0,1,1,4,1,0,0,3,4,2,1,1,1
"184",445,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",2,2,1,52,0,1,0,1,0,1,1,4,1,0,0,3,4,2,1,1,1
"185",446,0,1,0,2,2,"1. FTF (face-to-face) mode",0,3,"2. Female",2,2,1,52,0,1,0,1,0,1,0,4,1,0,0,3,4,2,1,0,1
"186",447,0,1,0,2,2,"1. FTF (face-to-face) mode",0,3,"2. Female",2,2,1,52,0,1,0,1,0,1,0,4,1,0,0,3,4,2,1,0,1
"187",448,0,1,0,2,2,"1. FTF (face-to-face) mode",0,3,"2. Female",2,2,1,52,0,1,0,1,0,1,0,4,1,0,0,3,4,2,1,0,1
"188",454,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,NA,3,34,0,1,0,0,0,1,1,1,1,1,NA,2,2,1,0,1,0
"189",455,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,5,2,78,1,1,1,1,1,1,1,1,0,1,2,3,6,5,4,1,1
"190",456,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,5,2,78,1,1,1,1,1,1,1,1,0,1,2,3,6,5,4,1,1
"191",457,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,5,2,78,1,1,1,1,1,1,1,1,0,1,2,3,6,5,4,1,1
"192",458,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,2,41,0,1,1,1,1,1,1,1,1,1,1,3,3,4,3,1,1
"193",459,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,2,41,0,1,1,1,1,1,1,1,1,1,1,3,3,4,3,1,1
"194",460,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,2,41,0,1,1,1,1,1,1,1,1,1,1,3,3,4,3,1,1
"195",463,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",3,NA,3,20,0,1,0,1,0,1,1,4,1,1,NA,2,1,2,1,1,0
"196",464,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",3,NA,3,20,0,1,0,1,0,1,1,4,1,1,NA,2,1,2,1,1,0
"197",465,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",3,NA,3,20,0,1,0,1,0,1,1,4,1,1,NA,2,1,2,1,1,0
"198",466,0,1,0,2,2,"1. FTF (face-to-face) mode",0,3,"2. Female",3,NA,3,20,0,1,0,1,0,1,0,4,1,1,NA,2,1,2,1,0,0
"199",467,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",3,NA,3,20,0,1,0,1,0,1,1,4,1,1,NA,2,1,2,1,1,0
"200",468,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",3,NA,3,20,0,1,0,1,0,1,1,4,1,1,NA,2,1,2,1,1,0
"201",469,0,1,0,2,2,"1. FTF (face-to-face) mode",1,3,"2. Female",3,NA,3,20,0,1,0,1,0,1,1,4,1,1,NA,2,1,2,1,1,0
"202",476,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,1,84,1,1,1,1,1,1,1,1,1,0,NA,3,6,5,4,1,1
"203",480,0,1,0,1,2,"1. FTF (face-to-face) mode",1,2,"2. Female",3,NA,4,41,0,1,0,0,0,1,1,2,1,1,NA,1,3,1,0,1,0
"204",481,0,1,0,1,2,"1. FTF (face-to-face) mode",0,2,"2. Female",3,NA,4,41,0,1,0,0,0,1,0,2,1,1,NA,1,3,1,0,0,0
"205",482,0,1,0,1,2,"1. FTF (face-to-face) mode",0,2,"2. Female",3,NA,4,41,0,1,0,0,0,1,0,2,1,1,NA,1,3,1,0,0,0
"206",483,0,1,0,1,2,"1. FTF (face-to-face) mode",1,2,"2. Female",3,NA,4,41,0,1,0,0,0,1,1,2,1,1,NA,1,3,1,0,1,0
"207",484,0,1,1,2,2,"1. FTF (face-to-face) mode",0,6,"1. Male",3,3,2,42,0,1,1,1,0,1,0,4,0,1,1,3,3,3,2,0,1
"208",485,0,1,1,2,2,"1. FTF (face-to-face) mode",0,6,"1. Male",3,3,2,42,0,1,1,1,0,1,0,4,0,1,1,3,3,3,2,0,1
"209",486,0,1,1,2,2,"1. FTF (face-to-face) mode",1,6,"1. Male",3,3,2,42,0,1,1,1,0,1,1,4,0,1,1,3,3,3,2,1,1
"210",487,0,1,1,2,2,"1. FTF (face-to-face) mode",1,6,"1. Male",3,3,2,42,0,1,1,1,0,1,1,4,0,1,1,3,3,3,2,1,1
"211",488,0,1,1,2,2,"1. FTF (face-to-face) mode",1,6,"1. Male",3,3,2,42,0,1,1,1,0,1,1,4,0,1,1,3,3,3,2,1,1
"212",489,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,3,3,33,0,1,0,1,1,1,0,1,0,0,1,2,2,3,2,0,0
"213",490,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,3,3,33,0,1,0,1,1,1,1,1,0,0,1,2,2,3,2,1,0
"214",491,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,3,3,33,0,1,0,1,1,1,1,1,0,0,1,2,2,3,2,1,0
"215",492,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,1,56,0,1,1,1,1,1,1,1,0,1,2,3,5,4,3,1,1
"216",493,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,1,56,0,1,1,1,1,1,1,1,0,1,2,3,5,4,3,1,1
"217",494,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,1,56,0,1,1,1,1,1,1,1,0,1,2,3,5,4,3,1,1
"218",495,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,1,56,0,1,1,1,1,1,1,1,0,1,2,3,5,4,3,1,1
"219",496,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,1,56,0,1,1,1,1,1,1,1,0,1,2,3,5,4,3,1,1
"220",497,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,1,56,0,1,1,1,1,1,1,1,0,1,2,3,5,4,3,1,1
"221",498,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,1,56,0,1,1,1,1,1,1,1,0,1,2,3,5,4,3,1,1
"222",499,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",2,2,2,35,0,1,0,1,1,1,0,1,0,0,0,3,3,3,2,0,1
"223",500,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",4,3,3,36,0,1,1,1,0,1,1,1,1,1,1,2,3,3,2,1,0
"224",501,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",4,3,3,36,0,1,1,1,0,1,1,1,1,1,1,2,3,3,2,1,0
"225",502,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",4,3,3,36,0,1,1,1,0,1,1,1,1,1,1,2,3,3,2,1,0
"226",505,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,1,2,1,1,NA,3,5,4,3,1,1
"227",506,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"228",507,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"229",508,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"230",509,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"231",510,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"232",511,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"233",512,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"234",513,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"235",514,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"236",515,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,56,1,1,0,1,1,1,0,2,1,1,NA,3,5,4,3,0,1
"237",516,0,1,0,1,1,"1. FTF (face-to-face) mode",0,5,"1. Male",3,3,3,53,0,1,0,0,1,1,0,3,0,1,1,2,4,2,1,0,0
"238",517,0,1,0,1,1,"1. FTF (face-to-face) mode",1,5,"1. Male",3,3,3,53,0,1,0,0,1,1,1,3,0,1,1,2,4,2,1,1,0
"239",530,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",3,NA,2,32,0,1,0,1,1,1,1,4,1,1,NA,3,2,3,2,1,1
"240",531,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",3,NA,2,32,0,1,0,1,1,1,1,4,1,1,NA,3,2,3,2,1,1
"241",532,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",3,NA,2,32,0,1,0,1,1,1,1,4,1,1,NA,3,2,3,2,1,1
"242",533,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",3,NA,2,32,0,1,0,1,1,1,1,4,1,1,NA,3,2,3,2,1,1
"243",534,0,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",3,NA,2,32,0,1,0,1,1,1,1,4,1,1,NA,3,2,3,2,1,1
"244",535,0,1,1,2,1,"1. FTF (face-to-face) mode",0,2,"2. Female",4,NA,1,37,0,1,1,1,1,1,0,2,1,1,NA,3,3,4,3,0,1
"245",536,0,1,1,2,1,"1. FTF (face-to-face) mode",1,2,"2. Female",4,NA,1,37,0,1,1,1,1,1,1,2,1,1,NA,3,3,4,3,1,1
"246",546,0,1,0,1,2,"1. FTF (face-to-face) mode",0,1,"2. Female",4,5,3,33,0,1,0,0,0,1,0,1,1,1,2,2,2,1,0,0,0
"247",547,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,33,0,1,0,0,0,1,1,1,1,1,2,2,2,1,0,1,0
"248",548,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,33,0,1,0,0,0,1,1,1,1,1,2,2,2,1,0,1,0
"249",550,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,2,62,0,1,1,1,1,1,1,1,0,0,NA,3,5,4,3,1,1
"250",551,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",1,3,3,64,0,1,0,1,1,1,0,1,1,0,1,2,5,3,2,0,0
"251",552,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",1,3,3,64,0,1,0,1,1,1,0,1,1,0,1,2,5,3,2,0,0
"252",553,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",1,3,3,64,0,1,0,1,1,1,1,1,1,0,1,2,5,3,2,1,0
"253",554,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",1,3,3,64,0,1,0,1,1,1,0,1,1,0,1,2,5,3,2,0,0
"254",555,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",1,3,3,64,0,1,0,1,1,1,1,1,1,0,1,2,5,3,2,1,0
"255",556,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",1,3,3,64,0,1,0,1,1,1,1,1,1,0,1,2,5,3,2,1,0
"256",557,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,NA,2,54,0,1,0,1,1,1,1,1,1,1,NA,3,4,3,2,1,1
"257",558,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,NA,2,54,0,1,0,1,1,1,1,1,1,1,NA,3,4,3,2,1,1
"258",564,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",3,1,3,71,0,1,0,0,0,1,1,1,0,1,0,2,6,1,0,1,0
"259",565,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",3,1,3,71,0,1,0,0,0,1,1,1,0,1,0,2,6,1,0,1,0
"260",566,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",3,1,3,71,0,1,0,0,0,1,1,1,0,1,0,2,6,1,0,1,0
"261",574,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,72,0,1,1,1,1,1,1,1,1,0,NA,3,6,4,3,1,1
"262",575,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,72,0,1,1,1,1,1,1,1,1,0,NA,3,6,4,3,1,1
"263",576,0,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",2,NA,2,72,0,1,1,1,1,1,0,1,1,0,NA,3,6,4,3,0,1
"264",577,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,72,0,1,1,1,1,1,1,1,1,0,NA,3,6,4,3,1,1
"265",578,0,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",2,NA,2,72,0,1,1,1,1,1,0,1,1,0,NA,3,6,4,3,0,1
"266",580,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,72,0,1,1,1,1,1,1,1,1,0,NA,3,6,4,3,1,1
"267",588,0.5,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,69,1,1,0,0,1,1,1,1,1,1,2,2,6,3,2,1,0
"268",589,0.5,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,69,1,1,0,0,1,1,1,1,1,1,2,2,6,3,2,1,0
"269",590,0.5,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,69,1,1,0,0,1,1,1,1,1,1,2,2,6,3,2,1,0
"270",596,0.5,1,1,2,2,"1. FTF (face-to-face) mode",0,1,"1. Male",4,5,4,37,1,1,1,1,0,1,0,1,0,1,2,1,3,4,3,0,0
"271",597,0.5,1,1,2,2,"1. FTF (face-to-face) mode",0,1,"1. Male",4,5,4,37,1,1,1,1,0,1,0,1,0,1,2,1,3,4,3,0,0
"272",598,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,3,1,42,0,1,1,1,1,1,1,1,0,0,1,3,3,4,3,1,1
"273",599,0,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,3,1,42,0,1,1,1,1,1,1,1,0,0,1,3,3,4,3,1,1
"274",603,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,2,76,0,1,0,1,1,1,1,1,0,1,1,3,6,3,2,1,1
"275",604,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,2,76,0,1,0,1,1,1,1,1,0,1,1,3,6,3,2,1,1
"276",605,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,2,76,0,1,0,1,1,1,1,1,0,1,1,3,6,3,2,1,1
"277",606,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,2,76,0,1,0,1,1,1,1,1,0,1,1,3,6,3,2,1,1
"278",607,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,5,3,NA,1,1,0,1,1,1,1,1,0,1,2,2,NA,4,3,1,0
"279",608,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,5,3,NA,1,1,0,1,1,1,1,1,0,1,2,2,NA,4,3,1,0
"280",609,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,5,3,NA,1,1,0,1,1,1,1,1,0,1,2,2,NA,4,3,1,0
"281",610,0,0,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",4,NA,2,73,0,0,0,1,1,1,1,1,1,1,NA,3,6,2,1,1,1
"282",611,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,4,2,58,0,1,0,1,1,1,0,1,0,1,2,3,5,3,2,0,1
"283",612,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"284",613,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,4,2,58,0,1,0,1,1,1,0,1,0,1,2,3,5,3,2,0,1
"285",614,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"286",615,0,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",5,4,2,58,0,1,0,1,1,1,0,1,0,1,2,3,5,3,2,0,1
"287",616,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"288",617,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",5,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"289",618,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,4,4,56,0,1,0,1,0,1,1,1,1,1,2,1,5,2,1,1,0
"290",619,0,1,0,2,2,"1. FTF (face-to-face) mode",0,1,"2. Female",3,4,4,56,0,1,0,1,0,1,0,1,1,1,2,1,5,2,1,0,0
"291",620,0,1,0,2,2,"1. FTF (face-to-face) mode",0,1,"2. Female",3,4,4,56,0,1,0,1,0,1,0,1,1,1,2,1,5,2,1,0,0
"292",621,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,4,4,56,0,1,0,1,0,1,1,1,1,1,2,1,5,2,1,1,0
"293",622,0,1,0,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",3,4,4,56,0,1,0,1,0,1,1,1,1,1,2,1,5,2,1,1,0
"294",625,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,1,1,0,1,NA,3,1,5,4,1,1
"295",626,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,1,1,0,1,NA,3,1,5,4,1,1
"296",627,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,1,1,0,1,NA,3,1,5,4,1,1
"297",628,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,1,1,0,1,NA,3,1,5,4,1,1
"298",629,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,0,1,0,1,NA,3,1,5,4,0,1
"299",630,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,0,1,0,1,NA,3,1,5,4,0,1
"300",631,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,0,1,0,1,NA,3,1,5,4,0,1
"301",632,1,1,1,2,1,"1. FTF (face-to-face) mode",0,1,"1. Male",3,NA,1,23,1,1,1,1,1,1,0,1,0,1,NA,3,1,5,4,0,1
"302",636,0,1,1,2,2,"1. FTF (face-to-face) mode",1,1,"2. Female",4,3,4,51,0,1,1,1,0,1,1,1,1,1,1,1,4,3,2,1,0
"303",637,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,3,4,82,0,1,0,1,1,1,1,1,0,1,1,1,6,3,2,1,0
"304",638,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"305",639,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"306",640,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"307",641,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"308",642,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"309",643,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",4,4,2,58,0,1,0,1,1,1,1,1,0,1,2,3,5,3,2,1,1
"310",656,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,3,51,0,1,0,1,1,1,1,1,1,1,1,2,4,3,2,1,0
"311",657,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",3,3,3,51,0,1,0,1,1,1,1,1,1,1,1,2,4,3,2,1,0
