"","X","ofcrec_cj_correct","ofcrec_vp_correct","ofcrec_speaker_correct","knowl_housemaj","knowl_senmaj","mode","validated_vote","dem_raceeth_x","gender_respondent_x","dem_edugroup_x","dem_eduspgroup_x","interest_attention","dem_age_r_x","justice_roberts","vp_biden","speaker_boehner","majority_house","majority_senate","mode_ftf","validated_voter16","race","female","college","spouse_educ","news_interest","age_cat6","pol_knowledge","treat","vote","v"
"36",120,0,1,0,2,2,"1. FTF (face-to-face) mode",1,5,"2. Female",3,3,4,39,0,1,0,1,0,1,1,3,1,1,1,1,3,2,1,1,0
"37",121,0,1,0,2,2,"1. FTF (face-to-face) mode",0,5,"2. Female",3,3,4,39,0,1,0,1,0,1,0,3,1,1,1,1,3,2,1,0,0
"38",124,0.5,1,0,2,1,"1. FTF (face-to-face) mode",1,6,"2. Female",4,3,4,43,1,1,0,1,1,1,1,4,1,1,1,1,3,4,3,1,0
"39",128,0,1,0,1,2,"1. FTF (face-to-face) mode",1,5,"2. Female",4,4,3,32,0,1,0,0,0,1,1,3,1,1,2,2,2,1,0,1,0
"40",129,0,1,0,1,2,"1. FTF (face-to-face) mode",1,5,"2. Female",4,4,3,32,0,1,0,0,0,1,1,3,1,1,2,2,2,1,0,1,0
"41",130,0,1,0,1,2,"1. FTF (face-to-face) mode",1,5,"2. Female",4,4,3,32,0,1,0,0,0,1,1,3,1,1,2,2,2,1,0,1,0
"42",150,0,1,0,1,1,"1. FTF (face-to-face) mode",1,6,"2. Female",4,3,2,49,0,1,0,0,1,1,1,4,1,1,1,3,4,2,1,1,1
"43",151,0,1,0,1,1,"1. FTF (face-to-face) mode",1,6,"2. Female",4,3,2,49,0,1,0,0,1,1,1,4,1,1,1,3,4,2,1,1,1
"44",152,0,1,0,1,1,"1. FTF (face-to-face) mode",0,6,"2. Female",4,3,2,49,0,1,0,0,1,1,0,4,1,1,1,3,4,2,1,0,1
"45",153,0,1,0,1,1,"1. FTF (face-to-face) mode",1,1,"2. Female",4,5,3,30,0,1,0,0,1,1,1,1,1,1,2,2,2,2,1,1,0
