"","X","V162076a","V162076b","V162072","V162073a","V162073b","V161515","V161516","V160501","V162062x","vote2016","V161310x","V161342","V161270","V161272","V161003","V161267c","justice_roberts","vp_biden","speaker_ryan","majority_house","majority_senate","mode_ftf","validated_vote","race","female","college","spouse_educ","news_interest","dem_age_r_x","age_cat6","pol_knowledge","treat","vote","v"
"792",928,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,2,13,11,"3. About half the time",1986,0,1,1,1,0,1,1,1,1,1,1,3,30,2,3,2,1,1
"793",929,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,2,11,NA,"1. Always",1954,0,1,1,1,1,1,1,1,1,1,NA,5,62,5,4,3,1,3
"794",931,0,0,1,1,0.5,2,2,"1. FTF/CASI",3,1,1,2,13,NA,"4. Some of the time",1971,0,1,1,1,1,1,1,1,1,1,NA,2,45,4,4,3,1,0
"795",932,0,0,0,0,0,2,1,"1. FTF/CASI",-2,0,4,2,8,NA,"4. Some of the time",1940,0,0,0,1,0,1,0,4,1,0,NA,2,76,6,1,0,0,0
"796",933,0,0,0,0,0,2,2,"1. FTF/CASI",2,1,1,2,10,6,"4. Some of the time",1985,0,0,0,1,1,1,1,1,1,1,0,2,31,2,2,1,1,0
"797",934,1,1,1,1,1,2,1,"1. FTF/CASI",1,1,1,2,14,NA,"1. Always",1974,1,1,1,1,0,1,1,1,1,1,NA,5,42,3,4,3,1,3
"798",935,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,5,1,12,NA,"1. Always",1993,0,1,1,1,1,1,1,3,0,1,NA,5,23,1,4,3,1,3
"799",936,0,0,1,1,1,2,2,"1. FTF/CASI",-2,1,5,1,10,NA,"4. Some of the time",1995,0,1,1,1,1,1,1,3,0,1,NA,2,21,1,4,3,1,0
"800",937,0,0,1,0,0,2,2,"1. FTF/CASI",1,1,5,1,13,NA,"2. Most of the time",1972,0,1,0,1,1,1,1,3,0,1,NA,4,44,3,3,2,1,2
"801",938,0.5,0,1,1,1,1,2,"1. FTF/CASI",2,1,5,2,12,10,"2. Most of the time",1965,1,1,1,0,1,1,1,3,1,1,1,4,51,4,4,3,1,2
"802",939,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,2,13,NA,"2. Most of the time",1957,0,1,1,1,1,1,1,1,1,1,NA,4,59,5,4,3,1,2
"803",940,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,2,10,NA,"2. Most of the time",1935,0,1,1,1,0,1,1,1,1,1,NA,4,81,6,3,2,1,2
"804",941,0,0,1,1,1,2,2,"1. FTF/CASI",-9,1,3,1,14,13,"1. Always",1939,0,1,1,1,1,1,1,4,0,1,2,5,77,6,4,3,1,3
"805",942,0,0,1,0,0,2,1,"1. FTF/CASI",1,1,1,2,10,NA,"4. Some of the time",1948,0,1,0,1,0,1,1,1,1,1,NA,2,68,6,2,1,1,0
"806",943,0,0,0,0,0,2,2,"1. FTF/CASI",-2,1,1,1,5,9,"3. About half the time",1984,0,0,0,1,1,1,1,1,0,0,0,3,32,2,2,1,1,1
"807",944,0,0,1,0,0.5,1,2,"1. FTF/CASI",1,1,1,1,9,10,"4. Some of the time",1951,0,1,1,0,1,1,1,1,0,0,1,2,65,6,3,2,1,0
"808",946,0,0,1,0,0,1,2,"1. FTF/CASI",2,1,1,1,9,9,"1. Always",1931,0,1,0,0,1,1,1,1,0,0,0,5,85,6,2,1,1,3
"809",947,0.5,0,1,0,0,2,2,"1. FTF/CASI",-9,1,5,1,9,15,"4. Some of the time",1960,1,1,0,1,1,1,1,3,0,0,2,2,56,5,4,3,1,0
"810",948,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,14,14,"1. Always",1958,1,1,1,1,1,1,1,1,0,1,2,5,58,5,5,4,1,3
"811",949,0,0,1,0,0,1,1,"1. FTF/CASI",2,1,1,2,9,NA,"3. About half the time",1966,0,1,0,0,0,1,1,1,1,0,NA,3,50,4,1,0,1,1
"812",950,0,0,1,0,0,1,2,"1. FTF/CASI",1,1,1,1,12,11,"3. About half the time",1979,0,1,0,0,1,1,1,1,0,1,1,3,37,3,2,1,1,1
"813",951,0,0,1,0,0,2,1,"1. FTF/CASI",1,1,1,2,10,NA,"1. Always",1947,0,1,0,1,0,1,1,1,1,1,NA,5,69,6,2,1,1,3
"814",952,0.5,0,1,1,1,2,1,"1. FTF/CASI",1,1,1,1,8,8,"3. About half the time",1950,1,1,1,1,0,1,1,1,0,0,0,3,66,6,4,3,1,1
"815",954,0.5,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,2,13,13,"1. Always",1970,1,1,1,1,1,1,1,1,1,1,2,5,46,4,5,4,1,3
"816",955,0,0,1,1,1,2,2,"1. FTF/CASI",1,1,1,1,11,10,"2. Most of the time",1963,0,1,1,1,1,1,1,1,0,1,1,4,53,4,4,3,1,2
"817",956,0,0,1,0,0,2,1,"1. FTF/CASI",2,0,1,2,13,NA,"4. Some of the time",1970,0,1,0,1,0,1,0,1,1,1,NA,2,46,4,2,1,0,0
"818",957,0,0,1,0,0.5,1,1,"1. FTF/CASI",1,1,1,2,14,14,"4. Some of the time",1979,0,1,1,0,0,1,1,1,1,1,2,2,37,3,2,1,1,0
"819",958,0,0,0,0,0,1,1,"1. FTF/CASI",-2,0,5,1,7,NA,"2. Most of the time",1998,0,0,0,0,0,1,0,3,0,0,NA,4,18,1,0,0,0,2
"820",959,0,0,0,0,0,2,2,"1. FTF/CASI",1,1,2,2,12,NA,"1. Always",1949,0,0,0,1,1,1,1,2,1,1,NA,5,67,6,2,1,1,3
"821",960,0,0,1,1,1,1,2,"1. FTF/CASI",5,1,1,2,13,13,"2. Most of the time",1988,0,1,1,0,1,1,1,1,1,1,2,4,28,2,3,2,1,2
